"PLT_CN","wbp_occurances","CN","PLOT","LAT","LON","ELEV"
"345","2951801010690",8,"2951801010690",440,44.796005,-112.215794,8600
"346","2951824010690",1,"2951824010690",441,44.781536,-112.134593,8800
"347","2952607010690",27,"2952607010690",555,44.574753,-111.893112,9200
"348","2958601010690",4,"2958601010690",86,45.236748,-109.524142,7800
"349","2958824010690",23,"2958824010690",106,45.203332,-109.661252,8600
"350","2958863010690",25,"2958863010690",109,45.193734,-109.470512,9200
"351","2958909010690",14,"2958909010690",110,45.195652,-109.413169,8800
"352","2959110010690",15,"2959110010690",135,45.145837,-109.456529,8900
"353","2959152010690",1,"2959152010690",136,45.147873,-109.408135,8400
"354","2959339010690",7,"2959339010690",163,45.099335,-109.349747,8400
"355","2959556010690",3,"2959556010690",181,45.058876,-109.78402,9200
"356","2959638010690",17,"2959638010690",188,45.044409,-109.348788,8900
"357","2959760010690",10,"2959760010690",207,45.026712,-109.723771,9000
"358","2959800010690",12,"2959800010690",208,45.007279,-109.677251,9100
"359","2959864010690",46,"2959864010690",211,45.016715,-109.494272,9700
"360","2992746010690",1,"2992746010690",65,45.915059,-111.014964,8300
"361","2992888010690",18,"2992888010690",93,45.816941,-110.946716,8300
"362","2993896010690",14,"2993896010690",177,45.456855,-111.117168,8500
"363","2993976010690",9,"2993976010690",179,45.475817,-111.013572,8800
"364","2994042010690",9,"2994042010690",181,45.415945,-111.325411,8200
"365","2994520010690",3,"2994520010690",199,45.341673,-111.07481,8700
"366","2994717010690",24,"2994717010690",204,45.301173,-111.064553,9000
"367","2994820010690",1,"2994820010690",208,45.250712,-111.12694,8300
"368","2995149010690",1,"2995149010690",218,45.1589,-111.121648,8200
"369","2995499010690",18,"2995499010690",229,45.063535,-111.049045,8950
"370","2995537010690",3,"2995537010690",230,45.022586,-111.32064,8000
"371","2995704010690",9,"2995704010690",235,44.983871,-111.322961,9200
"372","2995743010690",15,"2995743010690",236,44.98855,-111.251949,8300
"373","2995772010690",6,"2995772010690",237,44.967988,-111.175773,8100
"374","2995836010690",6,"2995836010690",239,44.97053,-111.059598,7840
"375","2995908010690",1,"2995908010690",240,44.940647,-111.327789,8300
"376","2995963010690",4,"2995963010690",242,44.934654,-111.192147,9200
"377","2996297010690",1,"2996297010690",251,44.848971,-111.271588,8300
"378","2996850010690",2,"2996850010690",276,44.581851,-111.125479,7600
"379","3013613010690",10,"3013613010690",83,46.123635,-112.304206,7700
"380","3014026010690",2,"3014026010690",102,46.04359,-112.375995,8000
"381","3058508010690",23,"3058508010690",12,45.721686,-112.423327,8300
"382","3059498010690",28,"3059498010690",65,45.592069,-112.096956,8700
"383","3059645010690",25,"3059645010690",67,45.604113,-111.958697,8600
"384","3059916010690",6,"3059916010690",86,45.543702,-112.071677,8400
"385","3060094010690",2,"3060094010690",94,45.567058,-111.580021,5600
"386","3060241010690",11,"3060241010690",107,45.51201,-112.091559,8100
"387","3060283010690",7,"3060283010690",108,45.520783,-112.018743,9000
"388","3061155010690",5,"3061155010690",154,45.434159,-111.513456,8500
"389","3061193010690",10,"3061193010690",155,45.4219,-111.43026,7900
"390","3062475010690",15,"3062475010690",223,45.286158,-111.379502,8300
"391","3062576010690",1,"3062576010690",224,45.232141,-111.381691,7400
"392","3062788010690",3,"3062788010690",239,45.192101,-111.494727,7800
"393","3062802010690",8,"3062802010690",240,45.200401,-111.446415,9400
"394","3062832010690",45,"3062832010690",241,45.198844,-111.378922,8900
"395","3063028010690",1,"3063028010690",248,45.165051,-112.037828,6800
"396","3063060010690",7,"3063060010690",249,45.155754,-111.968957,8500
"397","3063258010690",14,"3063258010690",257,45.166244,-111.433423,8500
"398","3063314010690",21,"3063314010690",258,45.165547,-111.376156,8600
"399","3063523010690",6,"3063523010690",268,45.098276,-111.838348,7600
"400","3063736010690",12,"3063736010690",275,45.111426,-111.387473,9200
"401","3063873010690",2,"3063873010690",283,45.065,-111.834051,8500
"402","3064304010690",3,"3064304010690",305,45.025814,-111.433633,8700
"403","3064446010690",23,"3064446010690",312,44.982354,-111.810021,9100
"404","3064506010690",6,"3064506010690",313,44.982636,-111.769438,8800
"405","3064565010690",24,"3064565010690",317,44.980428,-111.523345,8800
